D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'E', 2.82], ['E', 'H', 7.34], ['H', 'J', 2.43], ['J', 'Z', 1.99]]
Melhor caminho: [['A', 'B', 0.88], ['B', 'F', 2.08], ['F', 'G', 7.59], ['G', 'Z', 3.01]]
Melhor caminho: [['A', 'E', 2.26], ['E', 'F', 3.75], ['F', 'G', 3.98], ['G', 'Z', 2.65]]
Melhor caminho: [['A', 'E', 2.02], ['E', 'F', 2.37], ['F', 'G', 4.56], ['G', 'Z', 2.34]]
Melhor caminho: [['A', 'B', 0.2], ['B', 'F', 2.27], ['F', 'G', 4.4], ['G', 'Z', 3.85]]
Melhor caminho: [['A', 'E', 2.0], ['E', 'H', 6.63], ['H', 'J', 2.65], ['J', 'Z', 1.35]]
Melhor caminho: [['A', 'C', 6.31], ['C', 'I', 4.68], ['I', 'L', 1.11], ['L', 'Z', 2.9]]
Melhor caminho: [['A', 'E', 2.56], ['E', 'F', 2.41], ['F', 'G', 5.73], ['G', 'Z', 2.52]]
Melhor caminho: [['A', 'B', 0.68], ['B', 'F', 3.83], ['F', 'G', 6.36], ['G', 'Z', 3.42]]
Melhor caminho: [['A', 'B', 0.74], ['B', 'F', 3.83], ['F', 'G', 4.91], ['G', 'Z', 2.74]]
Melhor caminho: [['A', 'B', 1.63], ['B', 'F', 3.71], ['F', 'G', 4.99], ['G', 'Z', 2.2]]
Melhor caminho: [['A', 'B', 0.25], ['B', 'F', 3.72], ['F', 'G', 6.4], ['G', 'Z', 2.7]]
Melhor caminho: [['A', 'B', 0.22], ['B', 'F', 4.47], ['F', 'G', 5.31], ['G', 'Z', 3.28]]
Melhor caminho: [['A', 'B', 0.95], ['B', 'F', 2.94], ['F', 'G', 4.95], ['G', 'Z', 2.32]]
Melhor caminho: [['A', 'B', 0.98], ['B', 'F', 4.63], ['F', 'G', 4.15], ['G', 'Z', 2.93]]
Melhor caminho: [['A', 'E', 2.19], ['E', 'F', 2.71], ['F', 'G', 5.02], ['G', 'Z', 3.23]]
Melhor caminho: [['A', 'B', 0.77], ['B', 'F', 2.03], ['F', 'G', 4.47], ['G', 'Z', 2.23]]
Melhor caminho: [['A', 'B', 0.81], ['B', 'F', 3.99], ['F', 'G', 3.53], ['G', 'Z', 2.92]]
Melhor caminho: [['A', 'B', 0.85], ['B', 'F', 2.86], ['F', 'G', 5.19], ['G', 'Z', 3.45]]
Melhor caminho: [['A', 'B', 0.2], ['B', 'F', 3.44], ['F', 'G', 4.22], ['G', 'Z', 2.01]]
Melhor caminho: [['A', 'B', 1.48], ['B', 'F', 3.11], ['F', 'G', 3.86], ['G', 'Z', 3.79]]
Melhor caminho: [['A', 'E', 3.92], ['E', 'F', 2.76], ['F', 'G', 4.35], ['G', 'Z', 2.42]]
Melhor caminho: [['A', 'B', 1.93], ['B', 'F', 2.92], ['F', 'G', 3.79], ['G', 'Z', 3.22]]
Melhor caminho: [['A', 'B', 1.37], ['B', 'F', 4.82], ['F', 'G', 3.88], ['G', 'Z', 3.1]]
Melhor caminho: [['A', 'B', 1.45], ['B', 'F', 4.58], ['F', 'G', 4.31], ['G', 'Z', 3.07]]
Melhor caminho: [['A', 'B', 0.6], ['B', 'F', 4.46], ['F', 'G', 4.24], ['G', 'Z', 3.06]]
Melhor caminho: [['A', 'E', 2.56], ['E', 'H', 7.92], ['H', 'J', 3.49], ['J', 'Z', 1.01]]
Melhor caminho: [['A', 'B', 0.5], ['B', 'F', 2.38], ['F', 'G', 5.36], ['G', 'Z', 3.53]]
Melhor caminho: [['A', 'B', 0.89], ['B', 'F', 3.82], ['F', 'G', 4.35], ['G', 'Z', 3.56]]
Melhor caminho: [['A', 'B', 1.51], ['B', 'F', 3.67], ['F', 'G', 4.59], ['G', 'Z', 3.79]]
Melhor caminho: [['A', 'B', 0.81], ['B', 'F', 5.11], ['F', 'G', 4.85], ['G', 'Z', 3.96]]
Melhor caminho: [['A', 'B', 1.05], ['B', 'F', 4.88], ['F', 'G', 4.92], ['G', 'Z', 3.69]]
Melhor caminho: [['A', 'B', 0.26], ['B', 'F', 4.46], ['F', 'G', 4.24], ['G', 'Z', 2.31]]
Melhor caminho: [['A', 'B', 0.14], ['B', 'F', 2.35], ['F', 'G', 3.56], ['G', 'Z', 3.38]]
Melhor caminho: [['A', 'E', 2.38], ['E', 'F', 2.42], ['F', 'G', 3.61], ['G', 'Z', 2.73]]
Melhor caminho: [['A', 'E', 2.02], ['E', 'H', 7.12], ['H', 'J', 2.93], ['J', 'Z', 1.7]]
Melhor caminho: [['A', 'B', 1.77], ['B', 'F', 3.5], ['F', 'G', 4.67], ['G', 'Z', 2.36]]
Melhor caminho: [['A', 'E', 2.55], ['E', 'H', 4.64], ['H', 'J', 2.63], ['J', 'Z', 1.78]]
Melhor caminho: [['A', 'B', 0.57], ['B', 'F', 4.44], ['F', 'G', 3.86], ['G', 'Z', 2.58]]
Melhor caminho: [['A', 'C', 4.39], ['C', 'I', 4.7], ['I', 'L', 2.37], ['L', 'Z', 2.21]]
Melhor caminho: [['A', 'E', 2.47], ['E', 'H', 6.53], ['H', 'J', 2.94], ['J', 'Z', 2.59]]
Melhor caminho: [['A', 'C', 4.64], ['C', 'I', 4.02], ['I', 'L', 2.39], ['L', 'Z', 2.88]]
Melhor caminho: [['A', 'E', 3.0], ['E', 'F', 2.38], ['F', 'G', 6.29], ['G', 'Z', 2.29]]
Melhor caminho: [['A', 'B', 1.23], ['B', 'F', 3.77], ['F', 'G', 4.19], ['G', 'Z', 2.24]]
Melhor caminho: [['A', 'B', 1.07], ['B', 'F', 2.09], ['F', 'G', 4.77], ['G', 'Z', 3.97]]
Melhor caminho: [['A', 'B', 1.16], ['B', 'F', 3.88], ['F', 'G', 5.99], ['G', 'Z', 3.26]]
Melhor caminho: [['A', 'B', 0.91], ['B', 'F', 3.34], ['F', 'G', 4.88], ['G', 'Z', 3.71]]
Melhor caminho: [['A', 'B', 0.99], ['B', 'F', 2.73], ['F', 'G', 5.68], ['G', 'Z', 3.79]]
Melhor caminho: [['A', 'E', 2.67], ['E', 'H', 6.85], ['H', 'J', 2.86], ['J', 'Z', 2.66]]
Melhor caminho: [['A', 'B', 1.4], ['B', 'F', 3.85], ['F', 'G', 4.76], ['G', 'Z', 3.87]]
Melhor caminho: [['A', 'B', 1.82], ['B', 'F', 2.66], ['F', 'G', 6.28], ['G', 'Z', 3.08]]
Melhor caminho: [['A', 'B', 1.48], ['B', 'F', 5.35], ['F', 'G', 4.92], ['G', 'Z', 3.77]]
Melhor caminho: [['A', 'B', 0.41], ['B', 'F', 3.75], ['F', 'G', 6.1], ['G', 'Z', 2.14]]
Melhor caminho: [['A', 'B', 0.49], ['B', 'F', 5.43], ['F', 'G', 3.3], ['G', 'Z', 2.64]]
Melhor caminho: [['A', 'B', 1.83], ['B', 'F', 2.18], ['F', 'G', 6.72], ['G', 'Z', 2.6]]
Melhor caminho: [['A', 'B', 0.57], ['B', 'F', 4.45], ['F', 'G', 4.31], ['G', 'Z', 2.77]]
Melhor caminho: [['A', 'B', 0.48], ['B', 'F', 3.65], ['F', 'G', 5.94], ['G', 'Z', 2.09]]
Melhor caminho: [['A', 'E', 3.74], ['E', 'H', 5.33], ['H', 'J', 2.04], ['J', 'Z', 1.92]]
Melhor caminho: [['A', 'B', 0.35], ['B', 'F', 3.86], ['F', 'G', 6.09], ['G', 'Z', 2.06]]
Melhor caminho: [['A', 'E', 2.35], ['E', 'F', 2.33], ['F', 'G', 4.1], ['G', 'Z', 2.12]]
Melhor caminho: [['A', 'B', 1.79], ['B', 'F', 2.88], ['F', 'G', 4.84], ['G', 'Z', 2.05]]
Melhor caminho: [['A', 'B', 1.83], ['B', 'F', 3.73], ['F', 'G', 4.69], ['G', 'Z', 4.0]]
Melhor caminho: [['A', 'B', 1.25], ['B', 'F', 2.56], ['F', 'G', 4.81], ['G', 'Z', 3.32]]
Melhor caminho: [['A', 'C', 6.42], ['C', 'I', 4.6], ['I', 'L', 1.48], ['L', 'Z', 2.04]]
Melhor caminho: [['A', 'B', 0.54], ['B', 'F', 2.99], ['F', 'G', 3.95], ['G', 'Z', 3.02]]
Melhor caminho: [['A', 'B', 1.28], ['B', 'F', 2.27], ['F', 'G', 5.12], ['G', 'Z', 2.45]]
Melhor caminho: [['A', 'B', 0.71], ['B', 'F', 3.23], ['F', 'G', 3.03], ['G', 'Z', 3.5]]
Melhor caminho: [['A', 'B', 0.24], ['B', 'F', 5.24], ['F', 'G', 5.23], ['G', 'Z', 3.59]]
