D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'B', 0.03], ['B', 'F', 2.25], ['F', 'G', 4.14], ['G', 'Z', 2.43]]
Melhor caminho: [['A', 'B', 1.76], ['B', 'F', 3.86], ['F', 'G', 3.61], ['G', 'Z', 3.18]]
Melhor caminho: [['A', 'E', 2.18], ['E', 'H', 6.37], ['H', 'J', 2.92], ['J', 'Z', 1.88]]
Melhor caminho: [['A', 'C', 4.69], ['C', 'D', 1.62], ['D', 'H', 3.6], ['H', 'J', 2.24], ['J', 'Z', 2.22]]
Melhor caminho: [['A', 'B', 1.92], ['B', 'F', 2.12], ['F', 'G', 4.19], ['G', 'Z', 2.11]]
Melhor caminho: [['A', 'B', 1.2], ['B', 'F', 3.04], ['F', 'G', 4.15], ['G', 'Z', 2.82]]
Melhor caminho: [['A', 'E', 2.87], ['E', 'F', 2.41], ['F', 'G', 5.87], ['G', 'Z', 3.73]]
Melhor caminho: [['A', 'B', 0.47], ['B', 'F', 3.65], ['F', 'G', 5.6], ['G', 'Z', 2.99]]
Melhor caminho: [['A', 'C', 4.84], ['C', 'D', 1.81], ['D', 'H', 2.71], ['H', 'J', 2.38], ['J', 'Z', 1.15]]
Melhor caminho: [['A', 'B', 1.68], ['B', 'F', 2.04], ['F', 'G', 3.47], ['G', 'Z', 2.42]]
Melhor caminho: [['A', 'E', 2.48], ['E', 'H', 7.26], ['H', 'J', 2.13], ['J', 'Z', 1.71]]
Melhor caminho: [['A', 'B', 0.7], ['B', 'F', 4.5], ['F', 'G', 4.87], ['G', 'Z', 3.27]]
Melhor caminho: [['A', 'B', 0.64], ['B', 'F', 2.04], ['F', 'G', 5.21], ['G', 'Z', 2.17]]
Melhor caminho: [['A', 'E', 2.95], ['E', 'H', 8.77], ['H', 'J', 2.13], ['J', 'Z', 1.76]]
Melhor caminho: [['A', 'B', 1.62], ['B', 'F', 2.28], ['F', 'G', 5.58], ['G', 'Z', 2.13]]
Melhor caminho: [['A', 'E', 3.69], ['E', 'H', 5.48], ['H', 'G', 2.32], ['G', 'Z', 2.57]]
Melhor caminho: [['A', 'E', 3.02], ['E', 'H', 4.86], ['H', 'J', 3.32], ['J', 'Z', 1.4]]
Melhor caminho: [['A', 'B', 1.17], ['B', 'F', 3.34], ['F', 'G', 4.19], ['G', 'Z', 3.85]]
Melhor caminho: [['A', 'B', 1.59], ['B', 'F', 3.8], ['F', 'G', 4.09], ['G', 'Z', 2.44]]
Melhor caminho: [['A', 'B', 1.73], ['B', 'F', 2.83], ['F', 'G', 4.81], ['G', 'Z', 3.6]]
Melhor caminho: [['A', 'B', 0.07], ['B', 'F', 2.98], ['F', 'G', 4.83], ['G', 'Z', 3.2]]
Melhor caminho: [['A', 'C', 2.8], ['C', 'D', 1.65], ['D', 'H', 2.71], ['H', 'J', 3.74], ['J', 'Z', 2.1]]
Melhor caminho: [['A', 'B', 0.71], ['B', 'F', 3.17], ['F', 'G', 5.25], ['G', 'Z', 2.34]]
Melhor caminho: [['A', 'B', 1.17], ['B', 'F', 3.83], ['F', 'G', 5.68], ['G', 'Z', 2.98]]
