D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'B', 0.48], ['B', 'F', 2.53], ['F', 'G', 3.72], ['G', 'Z', 2.71]]
Melhor caminho: [['A', 'C', 5.57], ['C', 'I', 4.27], ['I', 'L', 1.49], ['L', 'Z', 1.56]]
Melhor caminho: [['A', 'E', 3.45], ['E', 'H', 2.02], ['H', 'J', 2.9], ['J', 'Z', 2.69]]
Melhor caminho: [['A', 'B', 0.42], ['B', 'F', 2.35], ['F', 'G', 3.66], ['G', 'Z', 2.92]]
Melhor caminho: [['A', 'C', 5.2], ['C', 'I', 5.44], ['I', 'L', 1.63], ['L', 'Z', 2.2]]
Melhor caminho: [['A', 'E', 3.37], ['E', 'F', 2.6], ['F', 'G', 4.67], ['G', 'Z', 2.94]]
Melhor caminho: [['A', 'B', 1.35], ['B', 'F', 2.39], ['F', 'G', 6.18], ['G', 'Z', 3.26]]
Melhor caminho: [['A', 'C', 4.21], ['C', 'I', 5.61], ['I', 'L', 1.6], ['L', 'Z', 1.36]]
Melhor caminho: [['A', 'E', 2.34], ['E', 'F', 2.78], ['F', 'G', 5.11], ['G', 'Z', 3.57]]
Melhor caminho: [['A', 'C', 4.23], ['C', 'I', 5.82], ['I', 'L', 2.58], ['L', 'Z', 2.64]]
Melhor caminho: [['A', 'B', 0.6], ['B', 'F', 2.16], ['F', 'G', 4.92], ['G', 'Z', 3.53]]
Melhor caminho: [['A', 'C', 6.4], ['C', 'D', 1.68], ['D', 'K', 2.11], ['K', 'L', 0.66], ['L', 'Z', 2.16]]
Melhor caminho: [['A', 'B', 0.62], ['B', 'F', 4.91], ['F', 'G', 4.91], ['G', 'Z', 2.02]]
Melhor caminho: [['A', 'B', 1.4], ['B', 'F', 2.33], ['F', 'G', 3.74], ['G', 'Z', 2.17]]
Melhor caminho: [['A', 'E', 3.0], ['E', 'H', 1.02], ['H', 'J', 2.96], ['J', 'Z', 1.88]]
Melhor caminho: [['A', 'B', 0.97], ['B', 'F', 3.71], ['F', 'G', 5.4], ['G', 'Z', 3.05]]
Melhor caminho: [['A', 'B', 0.62], ['B', 'F', 2.1], ['F', 'G', 3.72], ['G', 'Z', 3.56]]
Melhor caminho: [['A', 'B', 0.8], ['B', 'F', 2.64], ['F', 'G', 5.29], ['G', 'Z', 2.13]]
